Person,Time (Chinese),Start Time,End Time,Place,Event
Lingche 靈澈,,0808-02-01,0809-02-01,Tingzhou 汀州,
Lingche 靈澈,,0809-02-01,0810-02-01,Tingzhou 汀州,
Lingche 靈澈,,0810-02-01,0811-02-01,Tingzhou 汀州,
Lingche 靈澈,,0811-02-01,0812-02-01,Tingzhou 汀州,
Lingche 靈澈,,0812-02-01,0813-08-30,Tingzhou 汀州,
Lingche 靈澈,元和8八月,0813-08-30,0814-02-01,Yuezhou 越州,"living here at Miaoxi Temple 妙喜寺, visited by Li Xun 李遜 "
Lingche 靈澈,,0814-02-01,0815-02-13,Yuezhou 越州,
Lingche 靈澈,元和10,0815-02-13,0816-02-01,Xuanzhou 宣州,sends a poem to Liu Yuxi in Lianzhou
Lingche 靈澈,,0816-02-01,0817-01-20,Xuanzhou 宣州,
Lingche 靈澈,元和11,0817-01-20,0817-01-20,Xuanzhou 宣州,"dies at Kaiyuan Temple 開元寺, Liu Yuxi writes preface to his works"
Lingyi 靈一,開元23,0735-01-29,0757-03-25,Yangzhou 揚州,takes orders
Lingyi 靈一,,0736-01-29,0737-01-29,Yangzhou 揚州,
Lingyi 靈一,,0737-01-29,0738-01-29,Yangzhou 揚州,
Lingyi 靈一,,0738-01-29,0739-01-29,Yangzhou 揚州,
Lingyi 靈一,,0739-01-29,0740-01-29,Yangzhou 揚州,
Lingyi 靈一,,0740-01-29,0741-01-29,Yangzhou 揚州,
Lingyi 靈一,,0741-01-29,0742-01-29,Yangzhou 揚州,
Lingyi 靈一,,0742-01-29,0743-01-29,Yangzhou 揚州,
Lingyi 靈一,,0743-01-29,0744-01-29,Yangzhou 揚州,
Lingyi 靈一,,0744-01-29,0745-01-29,Yangzhou 揚州,
Lingyi 靈一,,0745-01-29,0746-01-29,Yangzhou 揚州,
Lingyi 靈一,,0746-01-29,0747-01-29,Yangzhou 揚州,
Lingyi 靈一,,0747-01-29,0748-01-29,Yangzhou 揚州,
Lingyi 靈一,,0748-01-29,0749-01-29,Yangzhou 揚州,
Lingyi 靈一,,0749-01-29,0750-01-29,Yangzhou 揚州,
Lingyi 靈一,,0750-01-29,0751-01-29,Yangzhou 揚州,
Lingyi 靈一,,0751-01-29,0752-01-29,Yangzhou 揚州,
Lingyi 靈一,,0752-01-29,0753-01-29,Yangzhou 揚州,
Lingyi 靈一,,0753-01-29,0754-01-29,Yangzhou 揚州,
Lingyi 靈一,,0754-01-29,0755-01-29,Yangzhou 揚州,
Lingyi 靈一,,0755-01-29,0756-01-29,Yangzhou 揚州,
Lingyi 靈一,,0756-01-29,0757-03-25,Yangzhou 揚州,
Lingyi 靈一,至德2 spring,0757-03-25,0757-10-18,Yuezhou 越州,"exchange poems at Yunmen Temple 雲門寺 with Huangfu Ran 皇甫冉, Li Jiayu 李嘉裕, others"
Lingyi 靈一,至德2 autumn,0757-10-18,0758-02-13,Hangzhou 杭州,"goes back to Yifeng Temple 宜豐寺, poetry exchanges"
Lingyi 靈一,至德3,0758-02-13,0762-11-06,Hangzhou 杭州,"at Yifeng Temple 宜豐寺, poetry exchanges"
Lingyi 靈一,,0759-01-29,0760-01-29,Hangzhou 杭州,
Lingyi 靈一,,0760-01-29,0761-01-29,Hangzhou 杭州,
Lingyi 靈一,,0761-01-29,0762-11-06,Hangzhou 杭州,
Lingyi 靈一,寶應1十月十六日,0762-11-06,0762-11-06,Hangzhou 杭州,dies at Longxing Temple 龍興寺
Liu Ke 劉軻,?,0790-03-01,0791-02-01,Caoxi 曹溪,studied Buddhism here at an early age
Liu Ke 劉軻,,0791-02-01,0792-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0792-02-01,0793-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0793-02-01,0794-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0794-02-01,0795-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0795-02-01,0796-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0796-02-01,0797-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0797-02-01,0798-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0798-02-01,0799-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0799-02-01,0800-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0800-02-01,0801-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0801-02-01,0802-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0802-02-01,0803-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0803-02-01,0804-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0804-02-01,0805-02-01,Caoxi 曹溪,
Liu Ke 劉軻,,0805-02-01,0806-03-24,Caoxi 曹溪,
Liu Ke 劉軻,元和初,0806-03-24,0807-02-01,Mt. Lu 廬山,lives here as monk
Liu Ke 劉軻,,0807-02-01,0808-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0808-02-01,0809-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0809-02-01,0810-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0810-02-01,0811-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0811-02-01,0812-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0812-02-01,0813-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0813-02-01,0814-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0814-02-01,0815-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0815-02-01,0816-02-01,Mt. Lu 廬山,
Liu Ke 劉軻,,0816-02-01,0817-03-22,Mt. Lu 廬山,
Liu Ke 劉軻,元和12三月,0817-03-22,0818-02-01,Chang'an 長安,"takes exam, exchanges poem with Bai Juyi"
Qiankang 乾康,,0901-02-01,0902-02-01,Lingling 零陵,
Qiankang 乾康,,0902-02-01,0903-02-01,Lingling 零陵,
Qiankang 乾康,,0903-02-01,0904-02-01,Lingling 零陵,
Qiankang 乾康,,0904-02-01,0905-02-01,Lingling 零陵,
Qiankang 乾康,,0905-02-01,0906-02-01,Lingling 零陵,
Qiankang 乾康,,0906-02-01,0907-05-15,Lingling 零陵,
Qiankang 乾康,開平1,0907-05-15,0907-10-01,Lingling 零陵,living here 
Qiankang 乾康,?,0907-10-01,0907-12-31,Changsha 長沙,visits Qiji around this time
Qiankang 乾康,?,0907-12-31,0908-02-01,Lingling 零陵,returns here
Qiankang 乾康,,0908-02-01,0909-02-01,Lingling 零陵,
Qiankang 乾康,,0909-02-01,0910-02-01,Lingling 零陵,
Qiankang 乾康,,0910-02-01,0911-02-01,Lingling 零陵,
Qiankang 乾康,,0911-02-01,0912-02-01,Lingling 零陵,
Qiankang 乾康,,0912-02-01,0913-02-01,Lingling 零陵,
Qiankang 乾康,,0913-02-01,0914-02-01,Lingling 零陵,
Qiankang 乾康,,0914-02-01,0915-02-01,Lingling 零陵,
Qiankang 乾康,,0915-02-01,0916-02-01,Lingling 零陵,
Qiankang 乾康,,0916-02-01,0917-02-01,Lingling 零陵,
Qiankang 乾康,,0917-02-01,0918-02-01,Lingling 零陵,
Qiankang 乾康,,0918-02-01,0919-02-01,Lingling 零陵,
Qiankang 乾康,,0919-02-01,0920-02-01,Lingling 零陵,
Qiankang 乾康,,0920-02-01,0921-02-01,Lingling 零陵,
Qiankang 乾康,,0921-02-01,0922-02-01,Lingling 零陵,
Qiankang 乾康,,0922-02-01,0923-02-01,Lingling 零陵,
Qiankang 乾康,,0923-02-01,0924-02-01,Lingling 零陵,
Qiankang 乾康,,0924-02-01,0925-02-01,Lingling 零陵,
Qiankang 乾康,,0925-02-01,0926-02-01,Lingling 零陵,
Qiankang 乾康,,0926-02-01,0927-02-01,Lingling 零陵,
Qiankang 乾康,,0927-02-01,0928-02-01,Lingling 零陵,
Qiankang 乾康,,0928-02-01,0929-02-01,Lingling 零陵,
Qiankang 乾康,,0929-02-01,0930-02-01,Lingling 零陵,
Qiankang 乾康,,0930-02-01,0931-02-01,Lingling 零陵,
Qiankang 乾康,,0931-02-01,0932-02-01,Lingling 零陵,
Qiankang 乾康,,0932-02-01,0933-02-01,Lingling 零陵,
Qiankang 乾康,,0933-02-01,0934-02-01,Lingling 零陵,
Qiankang 乾康,,0934-02-01,0935-02-01,Lingling 零陵,
Qiankang 乾康,,0935-02-01,0936-02-01,Lingling 零陵,
Qiankang 乾康,,0936-02-01,0937-02-01,Lingling 零陵,
Qiankang 乾康,,0937-02-01,0938-02-01,Lingling 零陵,
Qiankang 乾康,,0938-02-01,0939-02-01,Lingling 零陵,
Qiankang 乾康,,0939-02-01,0940-02-01,Lingling 零陵,
Qiankang 乾康,,0940-02-01,0941-02-01,Lingling 零陵,
Qiankang 乾康,,0941-02-01,0942-02-01,Lingling 零陵,
Qiankang 乾康,,0942-02-01,0943-02-01,Lingling 零陵,
Qiankang 乾康,,0943-02-01,0944-02-01,Lingling 零陵,
Qiankang 乾康,,0944-02-01,0945-02-01,Lingling 零陵,
Qiankang 乾康,,0945-02-01,0946-02-01,Lingling 零陵,
Qiankang 乾康,,0946-02-01,0947-02-01,Lingling 零陵,
Qiankang 乾康,,0947-02-01,0948-02-13,Lingling 零陵,
Qiankang 乾康,乾裕1,0948-02-13,0949-02-13,Lingling 零陵,still living here in this year; death date uncertain
Qianzhou 乾晝,?,0910-03-01,0911-02-01,Pengze 彭澤,from here
Qianzhou 乾晝,,0911-02-01,0912-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0912-02-01,0913-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0913-02-01,0914-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0914-02-01,0915-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0915-02-01,0916-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0916-02-01,0917-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0917-02-01,0918-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0918-02-01,0919-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0919-02-01,0920-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0920-02-01,0921-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0921-02-01,0922-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0922-02-01,0923-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0923-02-01,0924-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0924-02-01,0925-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0925-02-01,0926-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0926-02-01,0927-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0927-02-01,0928-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0928-02-01,0929-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0929-02-01,0930-02-01,Pengze 彭澤,
Qianzhou 乾晝,,0930-02-01,0931-01-22,Pengze 彭澤,
Qianzhou 乾晝,長興2,0931-01-22,0932-02-09,Jingmen 荊門,visits Qiji around this time
Qianzhou 乾晝,?,0932-02-09,0933-03-01,Pengze 彭澤,returns here
Qibai 栖白 ,,0846-02-01,0847-02-01,Jiangnan 江南,
Qibai 栖白 ,,0847-02-01,0848-02-01,Jiangnan 江南,
Qibai 栖白 ,,0848-02-01,0849-02-01,Jiangnan 江南,
Qibai 栖白 ,,0849-02-01,0850-02-01,Jiangnan 江南,
Qibai 栖白 ,,0850-02-01,0851-02-01,Jiangnan 江南,
Qibai 栖白 ,,0851-02-01,0852-02-01,Jiangnan 江南,
Qibai 栖白 ,,0852-02-01,0853-02-01,Jiangnan 江南,
Qibai 栖白 ,,0853-02-01,0854-02-01,Jiangnan 江南,
Qibai 栖白 ,,0854-02-01,0855-02-01,Jiangnan 江南,
Qibai 栖白 ,,0855-02-01,0856-02-01,Jiangnan 江南,
Qibai 栖白 ,,0856-02-01,0857-02-01,Jiangnan 江南,
Qibai 栖白 ,,0857-02-01,0858-02-01,Jiangnan 江南,
Qibai 栖白 ,,0858-02-01,0859-07-04,Jiangnan 江南,
Qibai 栖白 ,大中14,0859-02-08,0860-02-01,Chang'an 長安,"living at Jianfu Temple 薦福寺, exchange with Li Pin in autumn"
Qibai 栖白 ,大中13 Summer,0859-07-04,0859-02-08,Chang'an 長安,"becomes a court Buddhist; some travels with Jia Dao and Yao He around this time; also exchanges with Li Pin, Li Dong, Xu Tang, and Cao Song"
Qibai 栖白 ,,0860-02-01,0861-02-01,Chang'an 長安,
Qibai 栖白 ,,0861-02-01,0862-02-01,Chang'an 長安,
Qibai 栖白 ,,0862-02-01,0863-02-01,Chang'an 長安,
Qibai 栖白 ,,0863-02-01,0864-02-01,Chang'an 長安,
Qibai 栖白 ,,0864-02-01,0865-02-01,Chang'an 長安,
Qibai 栖白 ,,0865-02-01,0866-02-01,Chang'an 長安,
Qibai 栖白 ,,0866-02-01,0867-02-01,Chang'an 長安,
Qibai 栖白 ,,0867-02-01,0868-02-01,Chang'an 長安,
Qibai 栖白 ,,0868-02-01,0869-02-01,Chang'an 長安,
Qibai 栖白 ,,0869-02-01,0870-02-01,Chang'an 長安,
Qibai 栖白 ,,0870-02-01,0871-02-01,Chang'an 長安,
Qibai 栖白 ,,0871-02-01,0872-02-01,Chang'an 長安,
Qibai 栖白 ,,0872-02-01,0873-02-01,Chang'an 長安,
Qibai 栖白 ,,0873-02-01,0874-02-01,Chang'an 長安,
Qibai 栖白 ,,0874-02-01,0875-02-01,Chang'an 長安,
Qibai 栖白 ,,0875-02-01,0876-02-01,Chang'an 長安,
Qibai 栖白 ,,0876-02-01,0877-02-01,Chang'an 長安,
Qibai 栖白 ,,0877-02-01,0878-02-01,Chang'an 長安,
Qibai 栖白 ,,0878-02-01,0879-02-01,Chang'an 長安,
Qibai 栖白 ,,0879-02-01,0880-02-01,Chang'an 長安,
Qibai 栖白 ,,0880-02-01,0881-02-01,Chang'an 長安,
Qibai 栖白 ,,0881-02-01,0882-02-01,Chang'an 長安,
Qibai 栖白 ,,0882-02-01,0883-02-01,Chang'an 長安,
Qibai 栖白 ,,0883-02-01,0884-02-01,Chang'an 長安,
Qibai 栖白 ,,0884-02-01,0885-02-01,Chang'an 長安,
Qibai 栖白 ,,0885-02-01,0886-02-01,Chang'an 長安,
Qibai 栖白 ,,0886-02-01,0887-02-01,Chang'an 長安,
Qibai 栖白 ,,0887-02-01,0888-01-01,Chang'an 長安,
Qibai 栖白 ,?,0888-01-01,0888-01-01,Chang'an 長安,probably died sometime during Xizong's reign (873-888)
Qichan 栖蟾,,0878-02-01,0879-02-01,Dongting 洞庭,
Qichan 栖蟾,,0879-02-01,0880-02-01,Dongting 洞庭,
Qichan 栖蟾,,0880-02-01,0881-02-01,Dongting 洞庭,
Qichan 栖蟾,,0881-02-01,0882-02-01,Dongting 洞庭,
Qichan 栖蟾,,0882-02-01,0883-02-01,Dongting 洞庭,
Qichan 栖蟾,,0883-02-01,0884-02-01,Dongting 洞庭,
Qichan 栖蟾,,0884-02-01,0885-02-01,Dongting 洞庭,
Qichan 栖蟾,,0885-02-01,0886-02-01,Dongting 洞庭,
Qichan 栖蟾,,0886-02-01,0887-03-01,Dongting 洞庭,
Qichan 栖蟾,?,0887-03-01,0888-02-01,Ba River 巴江,traveled here once
Qichan 栖蟾,,0888-02-01,0889-03-01,Ba River 巴江,
Qichan 栖蟾,?,0889-03-01,0890-03-01,Jiangdong 江東,traveled around here at end of Tang
Qichan 栖蟾,?,0890-03-01,0891-02-01,Mt. Lu 廬山,lived here for a while
Qichan 栖蟾,,0891-02-01,0892-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0892-02-01,0893-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0893-02-01,0894-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0894-02-01,0895-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0895-02-01,0896-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0896-02-01,0897-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0897-02-01,0898-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0898-02-01,0899-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0899-02-01,0900-02-01,Mt. Lu 廬山,
Qichan 栖蟾,?,0900-01-01,0901-02-01,Ba River 巴江,traveled here sometime at end of Tang
Qichan 栖蟾,,0900-02-01,0901-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0901-02-01,0902-02-01,Ba River 巴江,
Qichan 栖蟾,,0901-02-01,0902-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0902-02-01,0903-02-01,Ba River 巴江,
Qichan 栖蟾,,0902-02-01,0903-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0903-02-01,0904-01-01,Ba River 巴江,
Qichan 栖蟾,,0903-02-01,0904-02-01,Mt. Lu 廬山,
Qichan 栖蟾,?,0904-01-01,0905-02-01,Jiangdong 江東,traveled around this area at end of Tang
Qichan 栖蟾,,0904-02-01,0905-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0905-02-01,0906-02-01,Jiangdong 江東,
Qichan 栖蟾,,0905-02-01,0906-02-01,Mt. Lu 廬山,
Qichan 栖蟾,,0906-02-01,0907-05-15,Jiangdong 江東,
Qichan 栖蟾,,0906-02-01,0907-05-15,Mt. Lu 廬山,
Qichan 栖蟾,開平1,0907-05-15,0908-02-01,Mt. Heng 衡山,"lives here; exchanges poems with Shen Bin, Xuzhong, Qiji, Shangyan"
Qichan 栖蟾,開平1,0907-05-15,0908-02-01,Mt. Heng 衡山,living here
Qichan 栖蟾,,0908-02-01,0909-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0908-02-01,0909-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0909-02-01,0910-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0909-02-01,0910-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0910-02-01,0911-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0910-02-01,0911-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0911-02-01,0912-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0911-02-01,0912-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0912-02-01,0913-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0912-02-01,0913-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0913-02-01,0914-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0913-02-01,0914-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0914-02-01,0915-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0914-02-01,0915-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0915-02-01,0916-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0915-02-01,0916-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0916-02-01,0917-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0916-02-01,0917-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0917-02-01,0918-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0917-02-01,0918-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0918-02-01,0919-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0918-02-01,0919-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0919-02-01,0920-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0919-02-01,0920-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0920-02-01,0921-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0920-02-01,0921-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0921-02-01,0922-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0921-02-01,0922-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0922-02-01,0923-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0922-02-01,0923-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0923-02-01,0924-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0923-02-01,0924-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0924-02-01,0925-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0924-02-01,0925-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0925-02-01,0926-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0925-02-01,0926-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0926-02-01,0927-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0926-02-01,0927-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0927-02-01,0928-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0927-02-01,0928-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0928-02-01,0929-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0928-02-01,0929-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0929-02-01,0930-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0929-02-01,0930-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0930-02-01,0931-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0930-02-01,0931-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0931-02-01,0932-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0931-02-01,0932-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0932-02-01,0933-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0932-02-01,0933-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0933-02-01,0934-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0933-02-01,0934-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0934-02-01,0935-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0934-02-01,0935-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0935-02-01,0936-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0935-02-01,0936-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0936-02-01,0937-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0936-02-01,0937-02-01,Mt. Heng 衡山,
Qichan 栖蟾,,0937-02-01,0938-02-02,Mt. Heng 衡山,
Qichan 栖蟾,,0937-02-01,0938-02-02,Mt. Heng 衡山,
Qichan 栖蟾,天福3,0938-02-02,0938-12-31,Mt. Heng 衡山,"still alive, writes poem about Qiji's poetry, death date unknown"
Qichan 栖蟾,天福3,0938-02-02,0938-02-02,Mt. Heng 衡山,still living here in this year; death date uncertain
Qiji 齊己,咸通11,0870-02-05,0871-02-01,Mt. Wei 潙山,"tends sheep here, writes poetry on cattleback, local monks love it, encourage him to become monk"
Qiji 齊己,,0871-02-01,0872-02-01,Mt. Wei 潙山,
Qiji 齊己,,0872-02-01,0873-02-01,Mt. Wei 潙山,
Qiji 齊己,,0873-02-01,0874-02-01,Mt. Wei 潙山,
Qiji 齊己,,0874-02-01,0875-02-01,Mt. Wei 潙山,
Qiji 齊己,,0875-02-01,0876-02-01,Mt. Wei 潙山,
Qiji 齊己,,0876-02-01,0877-02-01,Mt. Wei 潙山,
Qiji 齊己,,0877-02-01,0878-02-01,Mt. Wei 潙山,
Qiji 齊己,,0878-02-01,0879-02-01,Mt. Wei 潙山,
Qiji 齊己,,0879-02-01,0880-10-08,Mt. Wei 潙山,
Qiji 齊己,廣明1,0880-10-08,0881-02-01,Mt. Wei 潙山,"wants to go visit Lu Guimeng, but prevented by fighting going on, sends him a poem instead"
Qiji 齊己,,0881-02-01,0882-02-01,Mt. Wei 潙山,
Qiji 齊己,,0882-02-01,0883-02-01,Mt. Wei 潙山,
Qiji 齊己,,0883-02-01,0884-02-01,Mt. Wei 潙山,
Qiji 齊己,,0884-02-01,0885-02-01,Mt. Wei 潙山,
Qiji 齊己,,0885-02-01,0886-02-01,Mt. Wei 潙山,
Qiji 齊己,,0886-02-01,0887-02-01,Mt. Wei 潙山,
Qiji 齊己,,0887-02-01,0888-02-01,Mt. Wei 潙山,
Qiji 齊己,,0888-02-01,0889-02-01,Mt. Wei 潙山,
Qiji 齊己,,0889-02-01,0890-02-01,Mt. Wei 潙山,
Qiji 齊己,,0890-02-01,0891-02-01,Mt. Wei 潙山,
Qiji 齊己,,0891-02-01,0892-02-01,Mt. Wei 潙山,
Qiji 齊己,,0892-02-01,0893-02-01,Mt. Wei 潙山,
Qiji 齊己,,0893-02-01,0894-02-01,Mt. Wei 潙山,
Qiji 齊己,,0894-02-01,0895-11-20,Mt. Wei 潙山,
Qiji 齊己,乾寧2,0895-11-20,0896-02-01,Changsha 長沙,"lives at Daolin Temple 道林寺 here, age 32"
Qiji 齊己,,0896-02-01,0897-04-06,Changsha 長沙,
Qiji 齊己,乾寧4,0897-04-06,0898-02-01,Changsha 長沙,writes poem to Tang Bing 唐稟
Qiji 齊己,,0898-02-01,0899-02-14,Changsha 長沙,
Qiji 齊己,光化2,0899-02-14,0900-02-01,Chang'an 長安,traveled here with Zheng Gu around this time
Qiji 齊己,,0900-02-01,0901-04-22,Chang'an 長安,
Qiji 齊己,天福1,0901-04-22,0902-02-01,Hunan 湖南,writes poems to Chen Tao
Qiji 齊己,,0902-02-01,0903-02-01,Hunan 湖南,
Qiji 齊己,,0903-02-01,0904-02-01,Hunan 湖南,
Qiji 齊己,,0904-02-01,0905-10-02,Hunan 湖南,
Qiji 齊己,天裕2,0905-10-02,0906-02-01,Yichun 宜春,presents poem to Zheng Gu
Qiji 齊己,,0906-02-01,0907-05-15,Yichun 宜春,
Qiji 齊己,開平1,0907-05-15,0907-12-21,Changsha 長沙,"lives at Daolin Temple 道林寺 here, age 44"
Qiji 齊己,開平1 winter,0907-12-21,0908-02-01,Yichun 宜春,visits Zheng Gu on Mt. Yang along with Huang Sun
Qiji 齊己,,0908-02-01,0909-02-01,Yichun 宜春,
Qiji 齊己,,0909-02-01,0910-02-12,Yichun 宜春,
Qiji 齊己,開平3,0910-02-12,0910-09-21,Changsha 長沙,Zheng Gu dies; writes poem mourning him
Qiji 齊己,開平4八月十五日,0910-09-21,0910-10-14,Changsha 長沙,"still living at Daolin Temple, writes poem about fall of Tang"
Qiji 齊己,開平4九月九日,0910-10-14,0911-02-01,Changsha 長沙,"still living at Daolin Temple, writes poem about fall of Tang"
Qiji 齊己,,0911-02-01,0912-02-01,Changsha 長沙,
Qiji 齊己,,0912-02-01,0913-02-08,Changsha 長沙,
Qiji 齊己,乾化2十二月,0913-02-08,0914-02-01,Changsha 長沙,"at Daoilin Temple, writes poem mourning Guanxiu's death"
Qiji 齊己,,0914-02-01,0915-03-01,Changsha 長沙,
Qiji 齊己,貞明1,0915-03-01,0916-02-01,Mt. Lu 廬山,"moves here, exchanges poetry with Xiumu"
Qiji 齊己,,0916-02-01,0917-08-21,Mt. Lu 廬山,
Qiji 齊己,貞明3八月,0917-08-21,0918-02-01,Mt. Lu 廬山,writes 凌雲峰永昌禪院記
Qiji 齊己,,0918-02-01,0919-02-04,Mt. Lu 廬山,
Qiji 齊己,貞明5,0919-02-04,0919-05-01,Mt. Lu 廬山,living here
Qiji 齊己,貞明5,0919-05-01,0919-09-01,Jiangnan 江南,travels around this area
Qiji 齊己,貞明5,0919-09-01,0920-09-15,Mt. Lu 廬山,returns here
Qiji 齊己,貞明6八月,0920-09-15,0921-10-04,Mt. Lu 廬山,"writes poem seeing off Xiumu, writes poem mourning Shangyan"
Qiji 齊己,龍德1 Autumn,0921-10-04,0922-02-01,Jingnan 荆南,detained here on way to Shu by Gao Jixing
Qiji 齊己,龍德2,0922-02-01,0923-10-26,Jingmen 荊門,lives here at Longxing Temple 龍興寺
Qiji 齊己,同光1九月十四日,0923-10-26,0924-02-08,Jingmen 荊門,"Judun dies, Qiji writes preface to his gatha collection"
Qiji 齊己,同光2,0924-02-08,0925-02-01,Jingmen 荊門,"at Longxing temple, writes poems seeing someone off to exams, exchanges poems with Ouyang Bin in Shu"
