Rank	Poet	Betweenness Centrality	Betweenness Centrality (legible)	Clergy?
	Wuxiang 無相	0	0.00	Buddhist
	Xiuliang 休糧	0	0.00	Buddhist
	Xuantai 玄泰	0	0.00	Buddhist
	Yuanfang 圓昉	0	0.00	Buddhist
	Yuanji 源寂	0	0.00	Buddhist
	Yuansui 元遂	0	0.00	Buddhist
	Yunduan 雲端	0	0.00	Buddhist
	Zaowei 造微	0	0.00	Buddhist
	Zhongyi 仲儀	0	0.00	Buddhist
	Zongmi 宗密	0	0.00	Buddhist
	Xuanyuan Ji 軒轅集	0	0.00	Daoist
	Bai Minzhong 白敏中	0	0.00	No
	Bi Xian 畢諴	0	0.00	No
	Chen Qiao 陳樵	0	0.00	No
	Di Guichang 狄歸昌	0	0.00	No
	Du Qiu's Bride 杜秋娘	0	0.00	No
	Feng Yanlu 馮延魯	0	0.00	No
	Girl Who Inscribed on Three Counties Post 題三鄉驛女子	0	0.00	No
	Han Chuo 韓綽	0	0.00	No
	Han Yi 韓乂	0	0.00	No
	Han Yu 韓愈	0	0.00	No
	He Shaoyu 何紹餘	0	0.00	No
	He Zhizhang 賀知章	0	0.00	No
	Hou Gui 侯圭	0	0.00	No
	Hu Fen 胡汾	0	0.00	No
	Huang Binyu 黃賓于	0	0.00	No
	Huang Pu 黃璞	0	0.00	No
	Jia Kuang 賈匡	0	0.00	No
	Jia Song 賈嵩	0	0.00	No
	Kuai Liang 蒯亮	0	0.00	No
	Li Bao 李褒	0	0.00	No
	Li Du 李瀆	0	0.00	No
	Li Fangxuan 李方玄	0	0.00	No
	Li Gan 李甘	0	0.00	No
	Li Hu 李縠	0	0.00	No
	Li Maozhen 李茂貞	0	0.00	No
	Li Ming 李溟	0	0.00	No
	Li Pin 李玭	0	0.00	No
	Li Su 李愬	0	0.00	No
	Li Tunan 厲圖南	0	0.00	No
	Li Yin 李殷	0	0.00	No
	Li Yu 李羽	0	0.00	No
	Li Yuan 李愿	0	0.00	No
	Li Zhongmin 李中敏	0	0.00	No
	Liang Zhu 梁燭	0	0.00	No
	Linghu Chu 令狐楚	0	0.00	No
	Linghu Huan 令狐渙	0	0.00	No
	Liu Tui 劉蛻	0	0.00	No
	Liu Wen 劉溫	0	0.00	No
	Liu Xiang 劉象	0	0.00	No
	Liu Yao 劉軺	0	0.00	No
	Liu Yuxi 劉禹錫	0	0.00	No
	Lu Gong 陸肱	0	0.00	No
	Lu Hongzhi 盧弘止	0	0.00	No
	Lu Jianqiu 盧簡求	0	0.00	No
	Lu Tong 盧仝	0	0.00	No
	Lu Wu 陸洿	0	0.00	No
	Lu Xianqing 盧獻卿	0	0.00	No
	Lu Ye 盧鄴	0	0.00	No
	Lu Yi 陸扆	0	0.00	No
	Pei Du 裴度	0	0.00	No
	Pei Su 裴素	0	0.00	No
	Pei Tan 裴坦	0	0.00	No
	Pei Xiu 裴休	0	0.00	No
	Princess Taihe 太和公主	0	0.00	No
	Qian Liu 錢鏐	0	0.00	No
	Qin Zongquan 秦宗權	0	0.00	No
	Qiu Guangting 丘光庭	0	0.00	No
	Ren Hui 任晦	0	0.00	No
	Ren Wan 任畹	0	0.00	No
	Shen Guang 沈光	0	0.00	No
	Shen Xun 沈詢	0	0.00	No
	Shi Xubai 史虛白	0	0.00	No
	Song Qi 嵩起	0	0.00	No
	Song Yuan 宋邧	0	0.00	No
	Sun Fa 孫發	0	0.00	No
	Sun Lu 孫璐	0	0.00	No
	Sun Lu 孫路	0	0.00	No
	Tang Chi 唐持	0	0.00	No
	Tian Ying 田穎	0	0.00	No
	Wang Jian 王建	0	0.00	No
	Wang Jian, King of Former Shu 前蜀高祖王建	0	0.00	No
	Wang Pu 王溥	0	0.00	No
	Wang Shenzhi 王審知	0	0.00	No
	Wang Xiong 王雄	0	0.00	No
	Wang Zhifang 王直方	0	0.00	No
	Wei Chan 韋蟾	0	0.00	No
	Wei Chulao 韋楚老	0	0.00	No
	Wei Guan 韋瓘	0	0.00	No
	Wu Tui 吳蛻	0	0.00	No
	Wu Yanbao 吳延保	0	0.00	No
	Xing Qun 邢群	0	0.00	No
	Xu Xiuju 徐修矩	0	0.00	No
	Yang Fa 楊發	0	0.00	No
	Yang Juyuan 楊巨源	0	0.00	No
	Yang Kui 楊夔	0	0.00	No
	Yang Zantu 楊贊圖	0	0.00	No
	Ye Meng 葉蒙	0	0.00	No
	Yu Xingzong 于興宗	0	0.00	No
	Zhang Cizong 張次宗	0	0.00	No
	Zhang Maoshu 張茂樞	0	0.00	No
	Zhang Xifu 張希復	0	0.00	No
	Zhao Lin 趙璘	0	0.00	No
	Zhao Nengqing 趙能卿	0	0.00	No
	Zheng Chuhui 鄭處誨	0	0.00	No
	Zheng Fu 鄭符	0	0.00	No
	Zheng Rengui 鄭仁規	0	0.00	No
	Zheng Tian 鄭畋	0	0.00	No
	Zheng Xun 鄭薰	0	0.00	No
	Zhou Bao 周寶	0	0.00	No
	Zhou Zong 周宗	0	0.00	No
	Zhuangzi 莊子	0	0.00	No
	Lu Bi 盧肇	0	0.00	No
	Nan Zhuo 南卓	0	0.00	No
	Cai Jing 蔡京	0	0.00	Buddhist
	Qingche 清徹	0	0.00	Buddhist
	Yu Hongjian 于鴻漸	0	0.00	Daoist
	Huang Dongyuan 黃洞元	0	0.00	Daoist
	Gao Man 高蔓	0	0.00	No
	Liu Zhen 劉真	0	0.00	Deity
	Yuan Zhen 元稹	0	0.00	No
	Fan Ze 樊澤	0	0.00	No
	Emperor Muzong 唐穆宗	0	0.00	No
	Zhang Ji 張籍	0	0.00	No
	Han Hong 韓翃	0	0.00	No
	Li Yijian 李夷簡	0	0.00	No
	Li Ning 李寧	0	0.00	No
	Yan Shou 嚴綬	0	0.00	No
	Li Guangyan 李光顏	0	0.00	No
	Li Bo 李渤	0	0.00	No
	Zhang Hongjing 张弘靖	0	0.00	No
	Li Jue 李珏	0	0.00	No
	Ma Zong 馬總	0	0.00	No
	Cui Gong 崔珙	0	0.00	No
	Liu Gongquan 柳公權	0	0.00	No
	Emperor Wenzong 唐文宗	0	0.00	No
	Emperor Wuzong 唐武宗	0	0.00	No
	Ma Zhi 馬植	0	0.00	No
	Yang Yuling 楊於陵	0	0.00	No
	Li Yi 李益	0	0.00	No
	Fan Chuanzheng 範傳正	0	0.00	No
	Xue Ying 薛膺	0	0.00	No
	Lu Ting 盧汀	0	0.00	No
	Wu Dan 吳丹	0	0.00	No
	Wang Fan 王璠	0	0.00	No
	Song Shenxi 宋申錫	0	0.00	No
	Du Cong 杜悰	0	0.00	No
	Emperor Xianzong 唐憲宗	0	0.00	No
	Zheng Han 鄭澣	0	0.00	No
	Chen Quji 陳去疾	0	0.00	No
	Teng Mai 滕邁	0	0.00	No
	Xiao Jian 蕭建	0	0.00	No
	Di Jianmo 狄兼謨	0	0.00	No
	Cui Yue 崔約	0	0.00	No
	Zheng Huan 鄭澣	0	0.00	No
	Tian Qun 田群	0	0.00	No
	Dong Wu 董武	0	0.00	No
	Tian Zhuo 田卓	0	0.00	No
	Cui Qi 崔杞	0	0.00	No
	Wang Gui 王龜	0	0.00	No
	Lin Yun 林蘊	0	0.00	No
	Li Yu 李餘	0	0.00	No
	Zhang Meng 張蒙	0	0.00	No
	Han Xiang 韓湘	0	0.00	No
	Du Guan 杜觀	0	0.00	No
	Wei Yao 韋繇	0	0.00	No
	Zhang Qiwu 張齊物	0	0.00	No
	Lu Jianci 盧簡辭	0	0.00	No
	Liu Kuanfu 劉寬夫	0	0.00	No
	Yang Yuqing 楊虞卿	0	0.00	No
	Huangfu Xun 皇甫荀	0	0.00	No
	Gao Yuanyu 高元裕	0	0.00	No
	Yuan Zongjian 元宗簡	0	0.00	No
	Linghu Ding 令狐定	0	0.00	No
	Hu Yu 胡遇	0	0.00	No
	Tian Mou 田牟	0	0.00	No
	Cui Gu 崔固	0	0.00	No
	Li Yi 李億	0	0.00	No
	Wang Ya 王涯	0	0.00	No
	Li Guyan 李固言	0	0.00	No
	Chen Biao 陳摽	0	0.00	No
	Chen Shang 陳商	0	0.00	No
	Yu Renwen 于人文	0	0.00	No
	Luo Shaojing 羅劭京	0	0.00	No
	Cui Shou 崔壽	0	0.00	No
	Li Dingyan 李定言	0	0.00	No
	Yuan Du 袁都	0	0.00	No
	Liu Sanfu 劉三復	0	0.00	No
	Xiao Fu 蕭俛	0	0.00	No
	Lu Yuanfu 盧元輔	0	0.00	No
	Lu Jun 盧鈞	0	0.00	No
	Linghu Tao 令狐綯	0	0.00	No
	Wang Maoyuan 王茂元	0	0.00	No
	Feng Ao 封敖	0	0.00	No
	Li Yun 李蘊	0	0.00	No
	Shen Dan 沈單	0	0.00	No
	Xue Dan 薛耽	0	0.00	No
	Zheng Xiang 鄭祥	0	0.00	No
	Han Jiang 韓絳	0	0.00	No
	Lu Jian 盧緘	0	0.00	No
	Xiao Mian 蕭俛	0	0.00	No
	Chen Gu 陳嘏	0	0.00	No
	Ding Leng 丁棱	0	0.00	No
	Gao Tuizhi 高退之	0	0.00	No
	Pei Fan 裴翻	0	0.00	No
	Fan Xiang 樊驤	0	0.00	No
	Cui Xuan 崔軒	0	0.00	No
	Lin Zi 林滋	0	0.00	No
	Li Xuangu 李宣古	0	0.00	No
	Qiu Shangqing 丘上卿	0	0.00	No
	Meng Shou 孟守	0	0.00	No
	Tang Siyan 唐思言	0	0.00	No
	Ge Lao 戈牢	0	0.00	No
	Jin Houzai 金厚載	0	0.00	No
	Wang Shenyi 王甚夷	0	0.00	No
	Pang Yan 龐嚴	0	0.00	No
	Zhang Gu 張固	0	0.00	No
	Lu Shunzhi 盧順之	0	0.00	No
	Li Na 李訥	0	0.00	No
	Cui Yuanfan 崔元範	0	0.00	No
	Yang Zhizhi 楊知至	0	0.00	No
	Lu Yin 盧溵	0	0.00	No
	Feng Yanqing 封彥卿	0	0.00	No
	Wei Yi 韋益	0	0.00	No
	Zheng Zhun 鄭准	0	0.00	No
	Emperor Xuanzong 唐宣宗	0	0.00	No
